path,issues,current_title,proposed_title,t_len,current_desc,proposed_desc,d_len,h1
alexia-twerk-leaks.html,NO_TITLE|NO_DESC,,Alexia Twerk Group Official Archive · Twerkhub,46,,Alexia Twerk Group Official Archive on Twerkhub — private 4K archives & members-only drops. Curated exclusive pack collection. Weekly drops & members-only...,157,Alexia Twerk Group Official Archive
alexia-video-packs.html,NO_TITLE|NO_DESC,,Pick how deep you go · Twerkhub,31,,Pick how deep you go on Twerkhub — private 4K archives & members-only drops. Curated exclusive pack collection. Weekly drops & members-only cuts.,145,Pick how deep you go
best-twerk-dancers.html,NO_TITLE|NO_DESC,,Best Twerk Dancers & Studios · Twerkhub,39,,"Best Twerk Dancers & Studios on Twerkhub — choreo, fancam & dance challenge cuts. Curated twerk dance collection. Weekly drops & members-only cuts.",147,Best Twerk Dancers & Studios
creators-colombia.html,TITLE_LONG(81)|DESC_LONG(191),"Best twerk creators in Colombia · Medellín, Bogotá, Cali · reggaetón scene · 2026",The Colombian reggaetón floor · Twerkhub,40,"Top Colombian twerk + reggaetón creators — Medellín, Bogotá, and Cali dance studios, choreographers, fancam solo artists. The heart of the reggaetón floor-work scene. Complete Twerkhub guide.","The Colombian reggaetón floor on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",152,The Colombian reggaetón floor
creators-moscow.html,TITLE_LONG(76)|DESC_LONG(180),Best twerk creators in Moscow · Лада Гоцци · MDC NRG · TWERKIT Studio · 2026,The Moscow heels school · Twerkhub,34,"Top Moscow twerk creators — Лада Гоцци at Moscow Dance Centre NRG, Abasheva Yana + TWERKIT Studio, Dasha Kolesnikova, Kate Knaub. The Russian scene that shaped modern heels choreo.","The Moscow heels school on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",146,The Moscow heels school
creators-seoul.html,TITLE_LONG(77)|DESC_SHORT(102),Best twerk creators in Seoul · BEFOX + K-pop crossover · Busan fancams · 2026,The Seoul stripdance hybrid · Twerkhub,38,"Top Seoul + Busan twerk creators — BEFOX Dance Studio, K-pop fancam artists, stripdance studios. Korea","The Seoul stripdance hybrid on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",150,The Seoul stripdance hybrid
creators-taipei.html,TITLE_LONG(89)|DESC_LONG(189),"Best twerk creators in Taipei · iDance Studio roster · WanGong Lin, Angela, FOXYEN · 2026",The Taipei K-dance roster · Twerkhub,36,"Top 6 twerk creators working out of Taipei, Taiwan — WanGong Lin, Angela, FOXYEN, the full iDance Studio roster. K-dance choreography, 4K studio cuts, weekly drops. Complete Twerkhub guide.","The Taipei K-dance roster on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",148,The Taipei K-dance roster
creators.html,TITLE_LONG(66)|DESC_LONG(193),All Creators · Twerk choreographers + studios + dancers · Twerkhub,All Creators · Twerkhub,23,"The full Twerkhub creator roster — 40+ choreographers, studios and dance organizations across Russia, USA, Latam, Greece, Taiwan and more. Indexed profiles with reference cuts and booking info.","All Creators on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",135,All Creators
glossary.html,TITLE_LONG(74)|DESC_LONG(191),"Twerk glossary · 30+ terms · fancam, dembow, K-dance, perreo, heels choreo","Every word in the scene, explained · Twerkhub",45,"30+ twerk dance terms explained: fancam, dembow, K-dance, perreo, heels choreo, bounce, floor work, booty dance, stripdance, jazz-funk, reggaetón, stage cut. Twerkhub glossary · updated 2026.","Every word in the scene, explained on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.",140,"Every word in the scene, explained"
group-emiliano-ferrari-villalobo.html,NO_TITLE|NO_DESC,,Emiliano Ferrari Villalobo · Twerkhub,37,,Emiliano Ferrari Villalobo on Twerkhub — choreo group archive & dancer profile. Curated group archive collection. Weekly drops & members-only cuts.,147,Emiliano Ferrari Villalobo
group-kate-knaubl.html,NO_TITLE|NO_DESC,,Kate Knaubl · Twerkhub,22,,Kate Knaubl on Twerkhub — choreo group archive & dancer profile. Curated group archive collection. Weekly drops & members-only cuts.,132,Kate Knaubl
group-kelvin-deejay.html,NO_TITLE|NO_DESC,,Kelvin Deejay · Twerkhub,24,,Kelvin Deejay on Twerkhub — choreo group archive & dancer profile. Curated group archive collection. Weekly drops & members-only cuts.,134,Kelvin Deejay
group-lexy-panterra.html,NO_TITLE|NO_DESC,,Lexy Panterra · Twerkhub,24,,Lexy Panterra on Twerkhub — choreo group archive & dancer profile. Curated group archive collection. Weekly drops & members-only cuts.,134,Lexy Panterra
group-monika-99-percent.html,NO_TITLE|NO_DESC,,Monika / 99 Percent · Twerkhub,30,,Monika / 99 Percent on Twerkhub — choreo group archive & dancer profile. Curated group archive collection. Weekly drops & members-only cuts.,140,Monika / 99 Percent
group-street-project-monika.html,NO_TITLE|NO_DESC,,Street Project / Monika · Twerkhub,34,,Street Project / Monika on Twerkhub — choreo group archive & dancer profile. Curated group archive collection. Weekly drops & members-only cuts.,144,Street Project / Monika
index.html,TITLE_LONG(75)|DESC_LONG(237),TWERKHUB · The platform for the uncut ones · Private archive · Weekly drops,The Platform for the uncut ones · Twerkhub,42,"TWERKHUB — the private creator archive. 1,500+ curated 4K videos, private models, weekly drops, custom content for VIPs, and a 4-tier token economy (Basic · Medium · Premium · VIP). Colombian drop coming soon. 18+. If you know, you know.",The Platform for the uncut ones on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,137,The Platform for the uncut ones
kato-dance-studio.html,NO_TITLE|NO_DESC,,Kato Dance Studio · Twerkhub,28,,"Kato Dance Studio on Twerkhub — studio profile, choreographies & student cuts. Curated dance studio collection. Weekly drops & members-only cuts.",145,Kato Dance Studio
model1.html,NO_TITLE|NO_DESC,,Team Savage — Verified Creator Page · Twerkhub,46,,"Team Savage — Verified Creator Page on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",158,Team Savage — Verified Creator Page
nastya-nass.html,NO_TITLE|NO_DESC,,Nastya Nass · Twerkhub,22,,Nastya Nass on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,117,Nastya Nass
paid-content.html,NO_TITLE|NO_DESC,,Unlock paid content · Twerkhub,30,,Unlock paid content on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,125,Unlock paid content
premium-cosplay-fancam.html,TITLE_LONG(76)|DESC_LONG(190),Fan Cam Playlist - Alexia Twerk Exclusive Premium Content | 4K Fancam Videos,Premium Cosplay Fancam · Twerkhub,33,"Premium Fan Cam Playlist - Exclusive curated collection of Alexia Twerk fancam videos. 4K HD exotic dance, choreography, and cosplay content. Original artist covers and premium performances.",Premium Cosplay Fancam on Twerkhub — anime cosplay fancams in HD. Curated cosplay fancam collection. Weekly drops & members-only cuts.,134,
recommend.html,NO_TITLE|NO_DESC,,Suggest a Hot Video · Twerkhub,30,,Suggest a Hot Video on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,125,Suggest a Hot Video
recommended-videos.html,NO_TITLE|NO_DESC,,Top Suggested Videos · Twerkhub,31,,Top Suggested Videos on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,126,Top Suggested Videos
search.html,TITLE_LONG(66)|DESC_LONG(161),Search Twerkhub · 264+ curated twerk videos · creators · playlists,Find anything in the archive · Twerkhub,39,"Search the Twerkhub archive. 264+ curated 4K twerk videos, 38+ creators, 7 playlists, 6 blog posts. Instant results. Filter by creator, style, country, playlist.",Find anything in the archive on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,134,Find anything in the archive
shoshina-katherina.html,NO_TITLE|NO_DESC,,Shoshina Katherina · Twerkhub,29,,Shoshina Katherina on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,124,Shoshina Katherina
style-cosplay-fancam.html,TITLE_LONG(73)|DESC_LONG(185),Cosplay fancam style · con floor × anime × 4K · complete guide · Twerkhub,Cosplay fancam. The con-floor style · Twerkhub,46,"Cosplay fancam — the content style fusing convention floor fan-shot video with anime cosplay aesthetics and booty-dance vocabulary. 6 creators. What it is, why it works, where to start.",Cosplay fancam. The con-floor style on Twerkhub — anime cosplay fancams in HD. Curated cosplay fancam collection. Weekly drops & members-only cuts.,147,Cosplay fancam. The con-floor style
top-100-twerk-videos.html,NO_TITLE|NO_DESC,,Top 100 Twerk Videos · Twerkhub,31,,Top 100 Twerk Videos on Twerkhub — curated ranking of the hottest twerk videos. Curated top 100 collection. Weekly drops & members-only cuts.,141,
twerk-dance-4k.html,NO_TITLE|NO_DESC,,4K Twerk Dance Videos · Twerkhub,32,,"4K Twerk Dance Videos on Twerkhub — choreo, fancam & dance challenge cuts. Curated twerk dance collection. Weekly drops & members-only cuts.",140,4K Twerk Dance Videos
twerk-dance-battle.html,NO_TITLE|NO_DESC,,Battle Twerk Playlist · Twerkhub,32,,"Battle Twerk Playlist on Twerkhub — choreo, fancam & dance challenge cuts. Curated twerk dance collection. Weekly drops & members-only cuts.",140,Battle Twerk Playlist
twerk-dance-compilation.html,NO_TITLE|NO_DESC,,Twerk Dance Compilation · Twerkhub,34,,"Twerk Dance Compilation on Twerkhub — choreo, fancam & dance challenge cuts. Curated twerk dance collection. Weekly drops & members-only cuts.",142,Twerk Dance Compilation
twerk-dance-music.html,NO_TITLE|NO_DESC,,Twerk Dance Music · Twerkhub,28,,"Twerk Dance Music on Twerkhub — choreo, fancam & dance challenge cuts. Curated twerk dance collection. Weekly drops & members-only cuts.",136,Twerk Dance Music
twerk-dance-shorts.html,NO_TITLE|NO_DESC,,Twerk Shorts (Short-Form) · Twerkhub,36,,"Twerk Shorts (Short-Form) on Twerkhub — choreo, fancam & dance challenge cuts. Curated twerk dance collection. Weekly drops & members-only cuts.",144,Twerk Shorts (Short-Form)
twerk-dance-tutorial.html,NO_TITLE|NO_DESC,,Twerk Dance Tutorial · Twerkhub,31,,"Twerk Dance Tutorial on Twerkhub — choreo, fancam & dance challenge cuts. Curated twerk dance collection. Weekly drops & members-only cuts.",139,Twerk Dance Tutorial
twerk-dance-video.html,NO_TITLE|NO_DESC,,Twerk Dance Video Hub · Twerkhub,32,,"Twerk Dance Video Hub on Twerkhub — choreo, fancam & dance challenge cuts. Curated twerk dance collection. Weekly drops & members-only cuts.",140,Twerk Dance Video Hub
twerk-studios.html,NO_TITLE|NO_DESC,,Featured Dancers & Studio Routes · Twerkhub,43,,"Featured Dancers & Studio Routes on Twerkhub — studio profile, choreographies & student cuts. Curated dance studio collection. Weekly drops & members-only...",157,Featured Dancers & Studio Routes
twerk-tutorials.html,NO_TITLE|NO_DESC,,Twerk Tutorials · Twerkhub,26,,Twerk Tutorials on Twerkhub — beginner-to-advanced moves & technique drills. Curated twerk tutorial collection. Weekly drops & members-only cuts.,145,Twerk Tutorials
twerk-workout-glutes.html,NO_TITLE|NO_DESC,,Workout for Twerk Dancers · Twerkhub,36,,Workout for Twerk Dancers on Twerkhub — glute-focused dance workouts & routines. Curated twerk workout collection. Weekly drops & members-only cuts.,148,Workout for Twerk Dancers
velvet-young.html,NO_TITLE|NO_DESC,,Velvet Young · Twerkhub,23,,Velvet Young on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,118,Velvet Young
yurgenis.html,NO_TITLE|NO_DESC,,Yurgenis · Twerkhub,19,,"Yurgenis on Twerkhub — curated dance & fancam content. Watch the curated twerk collection, weekly drops & exclusive cuts. Free preview, members-only archive.",157,Yurgenis
about.html,DESC_LONG(192),About Twerkhub · Founded 2018 · By Alexia + Anti · Est. Argentina,Built for the uncut ones · Twerkhub,35,"Twerkhub is a private creator platform founded in 2018 by Alexia and Anti (firestarter). 1,500+ curated 4K videos, 4-tier token economy, weekly drops. Based Argentina · serving worldwide. 18+.",Built for the uncut ones on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,130,Built for the uncut ones
community.html,DESC_LONG(192),"Twerkhub · Community · 2,178+ subscribers · Members lounge",The inside conversation · Twerkhub,34,"Twerkhub members lounge — 2,178+ subscribers across Basic, Medium, Premium and VIP Top tiers. Drop discussions, crossover requests, Q&amp;A with Alexia, weekly drop ETAs. Private archive. 18+.",The inside conversation on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,129,The inside conversation
creators-greece.html,TITLE_LONG(66),Greek Twerk Dancers · Thessaloniki + Twerk Battle Vol.2 · Twerkhub,Greek Twerk Roster · Twerkhub,29,"The Greek twerk roster on Twerkhub — Anel Li (Lis Twerk), Street Dance Greece organization, Twerk Battle Vol.2 archive. 9.9M+ views across the Greek scene.","Greek Twerk Roster on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",141,Greek Twerk Roster
creators-latam.html,DESC_LONG(216),Latin American Twerk Dancers · Reggaeton + Perreo · Twerkhub,Latin American Twerk Roster · Twerkhub,38,"The Latin American twerk and reggaeton roster on Twerkhub — Debii Abreu (DR), Yurgenis (Venezuela), Rocio Ramirez (Argentina), Emiliano Ferrari Villalobo, LaBarbie (Colombia). Caribbean perreo meets studio technique.","Latin American Twerk Roster on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",150,Latin American Twerk Roster
creators-russia.html,DESC_LONG(219),Russian Twerk Dancers · Roster · Twerkhub,Russian Twerk Roster · Twerkhub,31,"The Russian twerk roster on Twerkhub — Lada Gozzi (MDC NRG Moscow), DHQ Fraules (Novosibirsk pioneer), Model 357 Lab, Street Project Volzhsky, Lena Indica, and the studios that exported Russian heels-twerk to the world.","Russian Twerk Roster on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",143,Russian Twerk Roster
creators-usa.html,DESC_LONG(190),US Twerk Dancers · LA + Maine + national roster · Twerkhub,US Twerk Roster · Twerkhub,26,"The US twerk roster on Twerkhub — Sav (TheQueenBSav, Maine + LA), Nika Chill (Los Angeles studios), Adison Briana, Foxyen, and the dance class circuit between LA, Atlanta and the East Coast.","US Twerk Roster on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",138,US Twerk Roster
style-heels-choreo.html,TITLE_LONG(69),Heels choreo · the complete guide · 8 creators · Twerkhub style pages,"Heels choreo, decoded · Twerkhub",32,"Heels choreo: the dance style that combines high heels with twerk floor work. Лада Гоцци, Lena Indica, BEFOX, Angela iDance. 8 reference creators. Twerkhub","Heels choreo, decoded on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.",127,"Heels choreo, decoded"
style-reggaeton-floor.html,DESC_LONG(188),Reggaetón floor work · perreo × twerk · complete guide · Twerkhub,Reggaetón floor work. The dembow rule · Twerkhub,48,"Reggaetón floor work — the dembow-rhythm floor vocabulary that fuses Caribbean perreo with American twerk. History, technique, 6 reference creators, crossover tracks. Twerkhub style guide.",Reggaetón floor work. The dembow rule on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,143,Reggaetón floor work. The dembow rule
terms.html,DESC_LONG(161),Terms of Service · Twerkhub · 18+ members platform,Terms of Service · Twerkhub,27,"Twerkhub terms of service. Who can use the platform, how tokens and subscriptions work, refund policy, content rules, account termination. Plain-English version.",Terms of Service on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,122,Terms of Service
variants-showcase.html,NO_DESC,Hot Ranking Variants Showcase · TWERKHUB,🎨 Hot Ranking Design Variants · Twerkhub,40,,🎨 Hot Ranking Design Variants on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,135,🎨 Hot Ranking Design Variants
contact.html,,"Contact Twerkhub · Support, DMCA, Business · Discord + email",Say hi · Twerkhub,17,"Reach Twerkhub: support, billing, DMCA takedowns, business partnerships, press. Fastest response via Discord lounge. 72h email response guarantee.","Say hi on Twerkhub — curated dance & fancam content. Watch the curated twerk collection, weekly drops & exclusive cuts. Free preview, members-only archive.",155,Say hi
hottest-cosplay-fancam/index.html,,Hottest Cosplay Fancam · 4K Anime Cosplay Archive · Twerkhub,Hottest cosplay fancam · Twerkhub,33,"Twerkhub Hottest Cosplay Fancam — curated anime/cosplay fancam archive. 4K HD vertical cuts, conventions, photoshoots. Weekly drops.",Hottest cosplay fancam on Twerkhub — anime cosplay fancams in HD. Curated cosplay fancam collection. Weekly drops & members-only cuts.,134,Hottest cosplay fancam
korean-girls-kpop-twerk/index.html,,Korean Girls · K-Pop Twerk Choreo Archive · Twerkhub,K-pop Korean girls twerk · Twerkhub,35,"Twerkhub K-Pop Twerk archive — Korean girl groups, choreo cuts, dance practice. 4K HD cuts of the hottest K-pop twerk performances.",K-pop Korean girls twerk on Twerkhub — Korean girl group dance & choreo cuts. Curated K-pop twerk collection. Weekly drops & members-only cuts.,143,K-pop  Korean girls twerk
models-catalog.html,,The Private Roster · Alexia Twerk Group Premium Models,The Private Roster · Twerkhub,29,"Private roster of verified premium models — Latin dancers from Colombia, Venezuela and the US. Invitation preferred. Profiles reveal after DM.","The Private Roster on Twerkhub — profile, top videos & curated archive. Curated creator profile collection. Weekly drops & members-only cuts.",141,The Private Roster
privacy.html,,Privacy Policy · Twerkhub · GDPR + CCPA compliant,Privacy Policy · Twerkhub,25,"Twerkhub privacy policy. What data we collect, why, how long we keep it, and your rights under GDPR + CCPA. Plain-English version. Last updated April 2026.",Privacy Policy on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,120,Privacy Policy
try-on-hot-leaks/index.html,,Try-On Hot Leaks · Curated Try-On Haul Collection · Twerkhub,Try-on hot leaks · Twerkhub,27,"Twerkhub Try-On Hot Leaks — curated archive of try-on haul videos. 4K bikinis, lingerie, micro-skirts, athletic wear. Members-only viral cuts.",Try-on hot leaks on Twerkhub — curated try-on haul cuts. Curated try-on haul collection. Weekly drops & members-only cuts.,122,Try-on hot leaks
ttl-latin-models/index.html,,"TTL · Latin Models · 1,500+ Private Cuts · Twerkhub",TTL Latin models · Twerkhub,27,"Twerkhub TTL · Complete Latin model archive · 4K MP4 cuts. Britney Mazo, Glenda, Jasmin, Daniela Florez and more. Members-only.",TTL Latin models on Twerkhub — Latina model archive & private cuts. Curated Latin model collection. Weekly drops & members-only cuts.,133,TTL Latin models
variety-catalog.html,,"The Secret Vault · Alexia Twerk Group · Fancam, Try-On, Cosplay",The Roster · Twerkhub,21,"The Secret Vault — 590 clips, 20 verified profiles. Fancam, Try-On Haul, Cosplay, Animated. Invitation only — access reveals after DM.",The Roster on Twerkhub — curated dance & fancam content. Curated twerk collection. Weekly drops & members-only cuts.,116,The Roster
